Genome_Name	NCBI_ID	Environment	Oxygen_Tolerance	Pathogenicity	Latitude	Longitude
Abiotrophia_defectiva_ATCC_49176	592010	Human, Oral (Other)	NA	NA	NA	NA
Acaryochloris_marina_MBIC11017	329726	Non-Human, Marine (Other)	Aerobe	Non-Pathogen	-7.532264	131.361112
Acetobacter_pasteurianus_IFO_3283_01	634452	Non-Human	Aerobe	NA	35.18	136.906389
Acetobacter_pasteurianus_IFO_3283_01_42C	634458	Non-Human	Aerobe	NA	35.18	136.906
Acetobacter_pasteurianus_IFO_3283_03	634453	Non-Human	Aerobe	NA	35.18	136.906
Acetobacter_pasteurianus_IFO_3283_07	634454	Non-Human	Aerobe	NA	35.18	136.906
Acetobacter_pasteurianus_IFO_3283_12	634459	Non-Human	Aerobe	NA	35.18	136.906
Acetobacter_pasteurianus_IFO_3283_22	634455	Non-Human	Aerobe	NA	35.18	136.906
Acetobacter_pasteurianus_IFO_3283_26	634456	Non-Human	Aerobe	NA	35.18	136.906
Acetobacter_pasteurianus_IFO_3283_32	634457	Non-Human	Aerobe	NA	35.18	136.906
Acholeplasma_laidlawii_PG_8A	441768	Non-Human, Soil	Facultative	NA	NA	NA
Achromobacter_piechaudii_ATCC_43553	742159	Human, Airways (Other)	NA	NA	NA	NA
Acidaminococcus_fermentans_DSM_20731	591001	Non-Human, Farm	Anaerobe	NA	NA	NA
Acidaminococcus_sp_D21_V1	563191	Human, Gut	Anaerobe	NA	NA	NA
Acidimicrobium_ferrooxidans_DSM_10331	525909	Non-Human	Aerobe	NA	63.93	-22.1
Acidiphilium_cryptum_JF_5	349163	Non-Human	Aerobe	Non-Pathogen	NA	NA
Acidithiobacillus_caldus_ATCC_51756	637389	Non-Human	NA	NA	NA	NA
Acidithiobacillus_ferrooxidans_ATCC_23270	243159	Non-Human	Obligate aerobe	NA	NA	NA
Acidithiobacillus_ferrooxidans_ATCC_53993	380394	Non-Human	Obligate aerobe	NA	NA	NA
Acidobacterium_capsulatum_ATCC_51196	240015	Non-Human, Soil	Aerobe	NA	34.93171	134.082527
Acidothermus_cellulolyticus_11B	351607	Non-Human, Hydrothermal	Aerobe	Non-Pathogen	44.393704	-110.567703
Acidovorax_avenae_citrulli_AAC00_1	397945	Non-Human	Aerobe	Pathogen	NA	NA
Acidovorax_delafieldii_2AN	573060	Non-Human, Soil	Aerobe	NA	NA	NA
Acidovorax_ebreus_TPSY	535289	Non-Human	Facultative	NA	NA	NA
Acidovorax_sp_JS42	232721	Non-Human, Soil	Aerobe	Non-Pathogen	NA	NA
Aciduliprofundum_boonei_T469	439481	Non-Human, Marine (Other)	Facultative	NA	-22.16889	-176.60028
Acinetobacter_baumannii_AB0057	480119	Human	Aerobe	Pathogen	NA	NA
Acinetobacter_baumannii_AB307_0294	557600	Human	Aerobe	Pathogen	42.886875	-78.877875
Acinetobacter_baumannii_AB900	557601	Human, Gut	Aerobe	Pathogen	42.886875	-78.877875
Acinetobacter_baumannii_ACICU	405416	Human	Aerobe	Pathogen	41.895466	12.482324
Acinetobacter_baumannii_ATCC_17978	400667	Human	Aerobe	Pathogen	NA	NA
Acinetobacter_baumannii_ATCC_19606	575584	Human, Urogenital (Other)	Anaerobe	Pathogen	NA	NA
Acinetobacter_baumannii_AYE	509173	Human	Aerobe	Pathogen	NA	NA
Acinetobacter_baumannii_SDF	509170	Human	Aerobe	Pathogen	NA	NA
Acinetobacter_calcoaceticus_RUH2202	575585	Human, Skin	Aerobe	Pathogen	55.603	13.001
Acinetobacter_haemolyticus_ATCC_19194	707232	Human, Airways (Other)	Aerobe	NA	NA	NA
Acinetobacter_johnsonii_SH046	575586	Human, Skin	Anaerobe	NA	NA	NA
Acinetobacter_junii_SH205	575587	Human, Gut, Skin	Anaerobe	NA	NA	NA
Acinetobacter_lwoffii_SH145	575588	Human, Skin	Anaerobe	NA	NA	NA
Acinetobacter_radioresistens_SH164	575589	Human, Skin	Anaerobe	NA	NA	NA
Acinetobacter_radioresistens_SK82	596318	Human, Skin	Anaerobe	NA	NA	NA
Acinetobacter_sp_6013113	592014	Human, Skin	Aerobe	NA	NA	NA
Acinetobacter_sp_6013150	525243	Human, Skin	Aerobe	NA	NA	NA
Acinetobacter_sp_6014059	525242	Human, Skin	Aerobe	NA	NA	NA
Acinetobacter_sp_ADP1	62977	Human, Soil, Food	Aerobe	Pathogen	NA	NA
Acinetobacter_sp_ATCC_27244	525244	Human, Skin	Aerobe	NA	NA	NA
Acinetobacter_sp_RUH2624	575564	Human, Skin	Anaerobe	NA	NA	NA
Acinetobacter_sp_SH024	575565	Human, Skin	Anaerobe	NA	NA	NA
Actinobacillus_minor_202	591023	Non-Human, Farm	Facultative	NA	NA	NA
Actinobacillus_minor_NM305	637911	Non-Human, Farm	Facultative	NA	NA	NA
Actinobacillus_pleuropneumoniae_L20	416269	Non-Human	Facultative	Pathogen	NA	NA
Actinobacillus_pleuropneumoniae_sv_1_4074	228399	Non-Human, Farm	Facultative	Pathogen	NA	NA
Actinobacillus_pleuropneumoniae_sv_3_JL03	434271	Non-Human, Farm	Facultative	Pathogen	NA	NA
Actinobacillus_pleuropneumoniae_sv_7_AP76	537457	Non-Human, Farm	Facultative	Pathogen	NA	NA
Actinobacillus_succinogenes_130Z	339671	Non-Human, Farm	Facultative	NA	44.6264	-85.6091
Actinomyces_coleocanis_DSM_15436	525245	Human, Urogenital (Vaginal)	Anaerobe	NA	NA	NA
Actinomyces_odontolyticus_ATCC_17982	411466	Human, Oral (Other)	Facultative	Pathogen	NA	NA
Actinomyces_odontolyticus_F0309	649742	Human, Airways (Other)	Facultative	Pathogen	NA	NA
Actinomyces_sp_oral_taxon_848_str_F0332	649743	Human, Oral (Other)	Facultative	Pathogen	NA	NA
Actinomyces_urogenitalis_DSM_15434	525246	Human, Urogenital (Vaginal)	Microaerophilic	NA	NA	NA
Actinosynnema_mirum_DSM_43827	446462	Non-Human, Soil	Aerobe	NA	40.491816	-74.322087
Aerococcus_viridans	1377	Human, Urogenital (Vaginal)	Microaerophilic	NA	NA	NA
Aeromicrobium_marinum_DSM_15272	585531	Human, Oral (Other), Marine (Heterotroph)	Microaerophilic	NA	NA	NA
