locus_tag,HGT.hits
ECB_00023,361
ECB_00024,360
ECB_00210,361
ECB_00211,360
ECB_00236,361
ECB_00237,360
ECB_00313,359
ECB_00314,361
ECB_00340,359
ECB_00341,361
ECB_00366,5
ECB_00367,5
ECB_00504,359
ECB_00505,361
ECB_00545,359
ECB_00546,361
ECB_00571,359
ECB_00572,361
ECB_00587,359
ECB_00588,361
ECB_00752,12
ECB_00753,7
ECB_00754,7
ECB_00755,5
ECB_00756,6
ECB_00760,6
ECB_01116,361
ECB_01117,360
ECB_01243,361
ECB_01244,360
ECB_01372,361
ECB_01373,360
ECB_01880,361
ECB_01881,360
ECB_01934,359
ECB_01935,361
ECB_02022,361
ECB_02023,360
ECB_02040,359
ECB_02041,361
ECB_02053,6
ECB_02143,359
ECB_02144,361
ECB_02270,359
ECB_02271,361
ECB_02451,361
ECB_02452,359
ECB_02513,361
ECB_02514,360
ECB_02646,359
ECB_02647,361
ECB_02823,359
ECB_02824,361
ECB_03227,359
ECB_03228,361
ECB_03484,359
ECB_03485,361
ECB_03775,14
ECB_04015,33
ECB_04160,361
ECB_04161,361
ECB_04163,359
ECB_04164,361
ECB_04180,359
ECB_04181,361
ECB_04195,14
ECB_04208,361
ECB_04209,360
